English name,Arabic name
Hypertension,ارتفاع ضغط الدم
Diabetes Mellitus Type 2,السكري النوع الثاني
Diabetes Mellitus Type 1,السكري النوع الأول
Asthma,الربو
Chronic Obstructive Pulmonary Disease (COPD),مرض الانسداد الرئوي المزمن
Coronary Artery Disease,مرض الشريان التاجي
Heart Failure,فشل القلب
Atrial Fibrillation,الرجفان الأذيني
Stroke,السكتة الدماغية
Chronic Kidney Disease,مرض الكلى المزمن
Gastritis,التهاب المعدة
Gastroesophageal Reflux Disease (GERD),ارتجاع المريء
Peptic Ulcer,قرحة المعدة
Irritable Bowel Syndrome (IBS),متلازمة القولون العصبي
Migraine,الصداع النصفي
Depression,الاكتئاب
Anxiety Disorder,اضطراب القلق
Hypothyroidism,قصور الغدة الدرقية
Hyperthyroidism,فرط نشاط الغدة الدرقية
Rheumatoid Arthritis,التهاب المفاصل الروماتويدي
Osteoarthritis,التهاب المفاصل التنكسي
Osteoporosis,هشاشة العظام
Anemia,فقر الدم
Urinary Tract Infection (UTI),التهاب المسالك البولية
Pneumonia,الالتهاب الرئوي
